CNPJ,NomeDaEmpresa,DadosAdicionais
51.319.654/0001-21,empresa36@servicos.org,Construmax - Construções LTDA
66.106.601/0001-31,empresa37@negocio.com,Grupo Nova Era - Construções LTDA
57.158.445/0001-44,empresa38@negocio.com,AlvoTech - Construções LTDA
74.133.692/0001-56,empresa39@corp.net,AlvoTech - Soluções em TI
56.790.438/0001-71,empresa40@empresa.com.br,Grupo Nova Era - Soluções em TI
97.623.654/0001-27,empresa41@empresa.com.br,AlvoTech - Transportes Gerais
90.259.717/0001-42,empresa42@empresa.com.br,AlvoTech - Soluções em TI
81.198.449/0001-89,empresa43@corp.net,QualyServ - Consultoria Empresarial
51.740.938/0001-97,empresa44@corp.net,AlvoTech - Comércio de Alimentos
47.441.690/0001-68,empresa45@servicos.org,AlvoTech - Construções LTDA
76.938.385/0001-92,empresa46@empresa.com.br,AlvoTech - Transportes Gerais
26.122.718/0001-80,empresa47@negocio.com,AlvoTech - Comércio de Alimentos
53.565.505/0001-41,empresa48@negocio.com,AlvoTech - Consultoria Empresarial
23.326.573/0001-66,empresa49@negocio.com,LogisBem - Soluções em TI
33.333.237/0001-68,empresa50@empresa.com.br,Grupo Nova Era - Transportes Gerais
67.700.265/0001-97,empresa51@servicos.org,LogisBem - Comércio de Alimentos
34.611.706/0001-65,empresa52@negocio.com,Grupo Nova Era - Consultoria Empresarial
62.327.415/0001-83,empresa53@servicos.org,LogisBem - Construções LTDA
76.210.262/0001-40,empresa54@corp.net,QualyServ - Consultoria Empresarial
94.129.701/0001-97,empresa55@empresa.com.br,Construmax - Consultoria Empresarial
95.264.550/0001-50,empresa56@empresa.com.br,LogisBem - Construções LTDA
88.698.665/0001-60,empresa57@servicos.org,LogisBem - Construções LTDA
94.141.692/0001-60,empresa58@negocio.com,Grupo Nova Era - Comércio de Alimentos
60.732.670/0001-35,empresa59@corp.net,QualyServ - Comércio de Alimentos
33.499.379/0001-92,empresa60@empresa.com.br,LogisBem - Construções LTDA
42.185.286/0001-75,empresa61@empresa.com.br,Grupo Nova Era - Transportes Gerais
75.524.128/0001-99,empresa62@corp.net,QualyServ - Consultoria Empresarial
99.653.191/0001-15,empresa63@servicos.org,QualyServ - Soluções em TI
53.808.626/0001-96,empresa64@empresa.com.br,Grupo Nova Era - Comércio de Alimentos
28.214.849/0001-22,empresa65@corp.net,QualyServ - Comércio de Alimentos
85.182.156/0001-63,empresa66@corp.net,LogisBem - Comércio de Alimentos
11.642.818/0001-21,empresa67@servicos.org,Construmax - Soluções em TI
83.924.706/0001-26,empresa68@corp.net,Construmax - Transportes Gerais
12.137.189/0001-48,empresa69@servicos.org,Construmax - Soluções em TI
51.967.840/0001-56,empresa70@servicos.org,Grupo Nova Era - Transportes Gerais
72.451.320/0001-68,empresa71@negocio.com,LogisBem - Consultoria Empresarial
42.184.521/0001-28,empresa72@servicos.org,AlvoTech - Transportes Gerais
78.315.280/0001-61,empresa73@negocio.com,AlvoTech - Soluções em TI
61.864.146/0001-63,empresa74@corp.net,Construmax - Soluções em TI
34.404.981/0001-26,empresa75@empresa.com.br,QualyServ - Transportes Gerais
80.256.829/0001-61,empresa76@negocio.com,Construmax - Transportes Gerais
55.442.937/0001-37,empresa77@empresa.com.br,QualyServ - Comércio de Alimentos
68.739.913/0001-43,empresa78@servicos.org,Grupo Nova Era - Comércio de Alimentos
65.502.858/0001-23,empresa79@servicos.org,AlvoTech - Consultoria Empresarial
31.111.724/0001-81,empresa80@negocio.com,QualyServ - Transportes Gerais
56.510.187/0001-96,empresa81@negocio.com,Grupo Nova Era - Consultoria Empresarial
65.760.592/0001-31,empresa82@empresa.com.br,Grupo Nova Era - Transportes Gerais
62.647.444/0001-32,empresa83@negocio.com,Construmax - Transportes Gerais
35.538.886/0001-35,empresa84@servicos.org,Construmax - Construções LTDA
27.275.153/0001-52,empresa85@corp.net,Grupo Nova Era - Comércio de Alimentos
32.854.464/0001-84,empresa86@empresa.com.br,Grupo Nova Era - Transportes Gerais
18.221.522/0001-93,empresa87@negocio.com,QualyServ - Transportes Gerais
26.330.810/0001-75,empresa88@servicos.org,AlvoTech - Consultoria Empresarial
65.774.431/0001-78,empresa89@servicos.org,Grupo Nova Era - Comércio de Alimentos
46.868.541/0001-25,empresa90@negocio.com,AlvoTech - Comércio de Alimentos
14.571.261/0001-50,empresa91@servicos.org,AlvoTech - Transportes Gerais
33.769.733/0001-21,empresa92@empresa.com.br,QualyServ - Construções LTDA
72.841.667/0001-23,empresa93@servicos.org,Construmax - Transportes Gerais
84.828.762/0001-88,empresa94@empresa.com.br,Grupo Nova Era - Construções LTDA
89.615.953/0001-10,empresa95@negocio.com,Grupo Nova Era - Consultoria Empresarial
12.830.467/0001-65,empresa96@servicos.org,Grupo Nova Era - Soluções em TI
66.505.396/0001-21,empresa97@servicos.org,Construmax - Soluções em TI
10.516.715/0001-43,empresa98@corp.net,Grupo Nova Era - Consultoria Empresarial
33.721.254/0001-11,empresa99@negocio.com,LogisBem - Soluções em TI
97.196.139/0001-43,empresa100@negocio.com,Construmax - Construções LTDA
