CNPJ,NomeDaEmpresa,DadosAdicionais
51.319.654/0001-21,empresa36@servicos.org,Construmax - Construções LTDA
66.106.601/0001-31,empresa37@negocio.com,Grupo Nova Era - Construções LTDA
57.158.445/0001-44,empresa38@negocio.com,AlvoTech - Construções LTDA
74.133.692/0001-56,empresa39@corp.net,AlvoTech - Soluções em TI
56.790.438/0001-71,empresa40@empresa.com.br,Grupo Nova Era - Soluções em TI
97.623.654/0001-27,empresa41@empresa.com.br,AlvoTech - Transportes Gerais
90.259.717/0001-42,empresa42@empresa.com.br,AlvoTech - Soluções em TI
81.198.449/0001-89,empresa43@corp.net,QualyServ - Consultoria Empresarial
51.740.938/0001-97,empresa44@corp.net,AlvoTech - Comércio de Alimentos
47.441.690/0001-68,empresa45@servicos.org,AlvoTech - Construções LTDA
76.938.385/0001-92,empresa46@empresa.com.br,AlvoTech - Transportes Gerais
26.122.718/0001-80,empresa47@negocio.com,AlvoTech - Comércio de Alimentos
53.565.505/0001-41,empresa48@negocio.com,AlvoTech - Consultoria Empresarial
23.326.573/0001-66,empresa49@negocio.com,LogisBem - Soluções em TI
33.333.237/0001-68,empresa50@empresa.com.br,Grupo Nova Era - Transportes Gerais
19.398.227/0001-21,,QualyServ - Consultoria Empresarial
00.000.000/0000-00,erro52@corp.net,
60.178.211/0001-55,,Grupo Nova Era - Construções LTDA
00.000.000/0000-00,erro54@negocio.com,
86.247.214/0001-14,,AlvoTech - Comércio de Alimentos
00.000.000/0000-00,erro56@negocio.com,
45.329.976/0001-35,,LogisBem - Comércio de Alimentos
00.000.000/0000-00,erro58@corp.net,
41.698.458/0001-34,,Grupo Nova Era - Comércio de Alimentos
00.000.000/0000-00,erro60@corp.net,
95.856.710/0001-47,,AlvoTech - Construções LTDA
00.000.000/0000-00,erro62@servicos.org,
19.876.598/0001-64,,Grupo Nova Era - Transportes Gerais
00.000.000/0000-00,erro64@negocio.com,
58.545.196/0001-41,,QualyServ - Transportes Gerais
00.000.000/0000-00,erro66@corp.net,
16.996.165/0001-82,,LogisBem - Construções LTDA
00.000.000/0000-00,erro68@negocio.com,
82.954.786/0001-65,,LogisBem - Soluções em TI
00.000.000/0000-00,erro70@servicos.org,
77.372.943/0001-56,,Construmax - Construções LTDA
00.000.000/0000-00,erro72@corp.net,
49.818.268/0001-95,,Grupo Nova Era - Construções LTDA
00.000.000/0000-00,erro74@negocio.com,
64.990.414/0001-46,,QualyServ - Transportes Gerais
00.000.000/0000-00,erro76@corp.net,
33.848.698/0001-33,,Construmax - Comércio de Alimentos
00.000.000/0000-00,erro78@corp.net,
23.507.855/0001-48,,AlvoTech - Soluções em TI
00.000.000/0000-00,erro80@empresa.com.br,
41.648.256/0001-88,,LogisBem - Construções LTDA
00.000.000/0000-00,erro82@corp.net,
97.422.142/0001-41,,Grupo Nova Era - Construções LTDA
00.000.000/0000-00,erro84@negocio.com,
44.411.734/0001-25,,Grupo Nova Era - Transportes Gerais
00.000.000/0000-00,erro86@empresa.com.br,
56.712.985/0001-44,,Grupo Nova Era - Comércio de Alimentos
00.000.000/0000-00,erro88@empresa.com.br,
70.560.437/0001-94,,AlvoTech - Consultoria Empresarial
00.000.000/0000-00,erro90@corp.net,
74.149.103/0001-85,,Grupo Nova Era - Consultoria Empresarial
00.000.000/0000-00,erro92@corp.net,
53.618.608/0001-76,,LogisBem - Transportes Gerais
00.000.000/0000-00,erro94@corp.net,
89.943.565/0001-41,,Grupo Nova Era - Comércio de Alimentos
00.000.000/0000-00,erro96@servicos.org,
98.217.243/0001-59,,AlvoTech - Construções LTDA
00.000.000/0000-00,erro98@servicos.org,
98.277.509/0001-55,,AlvoTech - Consultoria Empresarial
00.000.000/0000-00,erro100@corp.net,
